,smlmitzrach,protein,total_fat,carbohydrates,lable
531,24151210,25.05999947,15.48999977,0.0,-1
532,24151220,25.94000053,10.88000011,0.0,-1
533,24151258,14.44775009,17.64387512,2.266552687,-1
534,24152210,23.12999916,14.18000031,0.029999999,-1
535,24153210,22.29999924,14.57999992,0.059999999,-1
536,24153218,17.21197128,21.58146477,0.45926851,-1
537,24153220,24.20000076,9.159999847,0.0,-1
538,24153230,16.52000046,16.61000061,0.25,-1
539,24153250,11.56400013,11.62699986,0.200000003,-1
540,24153260,19.65999985,4.119999886,0.0,-1
541,24153268,28.07608795,9.691915512,0.0,-1
542,24154210,25.90999985,16.62000084,0.270000011,-1
543,24154220,27.94000053,10.59000015,0.0,-1
544,24154228,17.96902275,21.83765602,0.271928281,-1
545,24154238,17.19209671,21.03222084,0.260170966,-1
546,24158229,17.20000076,9.699999809,0.699999988,-1
547,24161110,26.89999962,19.5,0.0,-1
548,24161120,30.10000038,9.100000381,0.0,-1
549,24162110,23.59000015,16.72999954,0.0,-1
550,24162120,30.20999908,8.06000042,0.0,-1
551,24163110,22.59000015,16.68000031,0.0,-1
552,24163120,26.95000076,7.119999886,0.0,-1
553,24163130,17.52000046,13.15999985,0.0,-1
554,24163200,9.460800171,6.93900013,0.0,-1
555,24163220,21.96999931,3.539999962,0.0,-1
556,24164118,31.69369698,26.20798111,0.0,-1
557,24164128,23.0242424,19.00263023,12.17172527,-1
558,24165119,19.0,9.5,2.599999905,-1
559,24170430,17.7,2.1,0.0,-1
560,24172210,25.95000076,20.96999931,0.0,-1
561,24172220,28.19000053,13.15999985,0.0,-1
562,24172229,12.5,18.0,8.0,-1
563,24172249,15.0,10.0,6.0,-1
564,24173220,25.30999947,11.18999958,0.0,-1
